20060830,Gatzen,4218,165,120,4743,0,0,1159,261,225,1435,4,4,131,129,123,281,3,3,0,0,0,0,0,0
20060831,Gatzen,5248,55,30,5344,1,1,551,26,16,664,0,0,154,29,17,457,0,0,0,0,0,0,0,0
20060901,TUSCHY,4852,73,48,5024,0,0,1042,96,63,1301,1,1,0,0,0,140,0,0,0,0,0,0,0,0
20060902,dahl,4933,161,121,5486,2,2,740,137,102,886,0,0,34,58,49,92,0,0,0,0,0,0,0,0
20060903,Groenemeijer,4656,30,15,4969,0,0,1006,223,192,1347,2,2,31,117,101,147,1,1,0,0,0,0,0,0
20060904,dahl,5024,101,75,5407,2,2,624,128,112,871,0,0,88,98,90,185,1,1,0,0,0,0,0,0
20060905,VAN DER VELDE,4716,39,20,4755,0,0,974,51,38,1385,0,0,126,157,114,326,0,0,0,0,0,0,0,0
20060906,Gatzen,4603,17,7,4971,1,1,1211,154,137,1416,0,0,36,42,38,78,0,0,0,0,0,0,0,0
20060907,Gatzen,4986,162,134,5550,1,1,509,360,348,863,6,7,9,37,37,44,2,7,0,0,0,0,0,0
20060908,TUSCHY,3364,28,21,3795,0,0,1859,257,234,2113,3,4,398,157,149,554,1,1,0,0,0,0,0,0
20060909,TUSCHY,3356,10,8,-9999,-9999,-9999,2435,262,245,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060910,TUSCHY,4762,51,40,5216,0,0,1014,236,217,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060911,Groenemeijer,4531,49,48,-9999,-9999,-9999,1122,361,352,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060912,TUSCHY,3728,4,2,4135,0,0,1843,266,254,2108,1,1,73,149,147,222,0,0,0,0,0,0,0,0
20060913,Gatzen,4801,72,65,5276,0,0,483,157,149,640,0,0,345,205,199,548,2,5,0,0,0,0,0,0
20060914,Gatzen,4849,98,88,5349,1,1,307,36,33,343,0,0,392,381,349,770,3,3,0,0,0,0,0,0
20060915,TUSCHY,4184,2,1,4574,0,0,1182,61,58,1258,0,0,178,261,254,438,1,1,52,143,139,195,0,0
20060916,dahl,5090,42,29,5534,1,1,207,55,51,262,0,0,222,447,410,669,0,0,0,0,0,0,0,0
20060917,dahl,4939,30,18,-9999,-9999,-9999,449,152,127,-9999,-9999,-9999,252,241,209,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060918,Groenemeijer,4558,93,68,5054,0,0,958,293,245,1251,0,0,84,77,65,160,1,1,0,0,0,0,0,0
20060919,VAN DER VELDE,4714,107,93,5223,1,1,716,357,333,1072,1,1,54,115,111,168,1,1,0,0,0,0,0,0
20060920,Gatzen,4328,72,51,4803,0,0,926,230,222,1156,0,0,322,185,176,507,0,0,0,0,0,0,0,0
20060921,Gatzen,4308,23,15,4734,0,0,1016,202,181,1217,1,1,347,167,144,514,0,0,0,0,0,0,0,0
